MAL_ID,Name,IMAGE_URL
187,Initial D Third Stage,https://cdn.myanimelist.net/images/anime/13/40397.jpg
188,Gosenzo San'e,https://cdn.myanimelist.net/images/anime/13/78241.jpg
189,Love Hina,https://cdn.myanimelist.net/images/anime/1725/94697.jpg
190,Love Hina Again,https://cdn.myanimelist.net/images/anime/3/10289.jpg
191,Love Hina Christmas Special: Silent Eve,https://cdn.myanimelist.net/images/anime/11/82467.jpg
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,https://cdn.myanimelist.net/images/anime/12/82632.jpg
193,Maburaho,https://cdn.myanimelist.net/images/anime/9/79204.jpg
194,Macross Zero,https://cdn.myanimelist.net/images/anime/12/76289.jpg
195,Onegai☆Teacher,https://cdn.myanimelist.net/images/anime/13/5241.jpg
196,Onegai☆Twins,https://cdn.myanimelist.net/images/anime/1621/100229.jpg
197,Rizelmine,https://cdn.myanimelist.net/images/anime/7/22990.jpg
198,Speed Grapher,https://cdn.myanimelist.net/images/anime/12/26128.jpg
199,Sen to Chihiro no Kamikakushi,https://cdn.myanimelist.net/images/anime/6/79597.jpg
200,Tenshi na Konamaiki,https://cdn.myanimelist.net/images/anime/2/32701.jpg
201,Video Girl Ai,https://cdn.myanimelist.net/images/anime/2/22130.jpg
202,Wolf's Rain,https://cdn.myanimelist.net/images/anime/5/59403.jpg
203,Words Worth,https://cdn.myanimelist.net/images/anime/12/6030.jpg
204,Yumeria,https://cdn.myanimelist.net/images/anime/8/16782.jpg
205,Samurai Champloo,https://cdn.myanimelist.net/images/anime/11/29134.jpg
206,Lodoss-tou Senki: Eiyuu Kishi Den,https://cdn.myanimelist.net/images/anime/1065/92495.jpg
207,Lodoss-tou Senki,https://cdn.myanimelist.net/images/anime/1644/92493.jpg
208,R.O.D: Read or Die,https://cdn.myanimelist.net/images/anime/1/208.jpg
209,R.O.D: The TV,https://cdn.myanimelist.net/images/anime/3/73350.jpg
210,Ranma ½,https://cdn.myanimelist.net/images/anime/13/6441.jpg
211,Pure Mail,https://cdn.myanimelist.net/images/anime/1518/112232.jpg
212,Project A-Ko,https://cdn.myanimelist.net/images/anime/2/58391.jpg
213,Pia Carrot e Youkoso!!,https://cdn.myanimelist.net/images/anime/7/50779.jpg
214,Pia Carrot e Youkoso!! 2,https://cdn.myanimelist.net/images/anime/11/50783.jpg
215,Pia Carrot e Youkoso!! 2 DX,https://cdn.myanimelist.net/images/anime/11/50781.jpg
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,https://cdn.myanimelist.net/images/anime/9/33511.jpg
217,Shin Angel,https://cdn.myanimelist.net/images/anime/5/51011.jpg
218,Kidou Senkan Nadesico,https://cdn.myanimelist.net/images/anime/3/53955.jpg
219,Kidou Senkan Nadesico: The Prince of Darkness,https://cdn.myanimelist.net/images/anime/10/51253.jpg
220,Kuro no Danshou,https://cdn.myanimelist.net/images/anime/10/29841.jpg
221,Mezzo Forte,https://cdn.myanimelist.net/images/anime/6/37391.jpg
222,Mezzo DSA,https://cdn.myanimelist.net/images/anime/9/3235.jpg
223,Dragon Ball,https://cdn.myanimelist.net/images/anime/1887/92364.jpg
225,Dragon Ball GT,https://cdn.myanimelist.net/images/anime/1262/93119.jpg
226,Elfen Lied,https://cdn.myanimelist.net/images/anime/10/6883.jpg
227,FLCL,https://cdn.myanimelist.net/images/anime/7/77356.jpg
228,Jigoku Shoujo,https://cdn.myanimelist.net/images/anime/3/71958.jpg
229,Ninin ga Shinobuden,https://cdn.myanimelist.net/images/anime/8/6591.jpg
230,Air Master,https://cdn.myanimelist.net/images/anime/2/21019.jpg
231,Asagiri no Miko,https://cdn.myanimelist.net/images/anime/3/75196.jpg
232,Cardcaptor Sakura,https://cdn.myanimelist.net/images/anime/8/60781.jpg
233,Daa! Daa! Daa!,https://cdn.myanimelist.net/images/anime/3/21166.jpg
234,Dan Doh!!,https://cdn.myanimelist.net/images/anime/3/15231.jpg
235,Detective Conan,https://cdn.myanimelist.net/images/anime/7/75199.jpg
236,E's Otherwise,https://cdn.myanimelist.net/images/anime/2/6260.jpg
237,Koukyoushihen Eureka Seven,https://cdn.myanimelist.net/images/anime/12/34443.jpg
238,Rekka no Honoo,https://cdn.myanimelist.net/images/anime/1646/113504.jpg
239,Gankutsuou,https://cdn.myanimelist.net/images/anime/10/2235.jpg
240,Genshiken,https://cdn.myanimelist.net/images/anime/1890/94707.jpg
241,Girls Bravo: First Season,https://cdn.myanimelist.net/images/anime/1/241.jpg
242,Gokusen,https://cdn.myanimelist.net/images/anime/6/25273.jpg
243,Gravitation,https://cdn.myanimelist.net/images/anime/4/21856.jpg
244,Agatha Christie no Meitantei Poirot to Marple,https://cdn.myanimelist.net/images/anime/6/3149.jpg
245,Great Teacher Onizuka,https://cdn.myanimelist.net/images/anime/13/11460.jpg
246,Groove Adventure Rave,https://cdn.myanimelist.net/images/anime/9/20134.jpg
247,Harukanaru Toki no Naka de: Hachiyou Shou,https://cdn.myanimelist.net/images/anime/7/7227.jpg
248,Ichigo 100%,https://cdn.myanimelist.net/images/anime/5/20036.jpg
249,InuYasha,https://cdn.myanimelist.net/images/anime/1589/95329.jpg
250,Konjiki no Gash Bell!!,https://cdn.myanimelist.net/images/anime/7/14983.jpg
251,Kyou kara Maou!,https://cdn.myanimelist.net/images/anime/11/75544.jpg
252,Madlax,https://cdn.myanimelist.net/images/anime/12/57237.jpg
253,Jungle wa Itsumo Hare nochi Guu,https://cdn.myanimelist.net/images/anime/10/24555.jpg
254,Jungle wa Itsumo Hare nochi Guu Deluxe,https://cdn.myanimelist.net/images/anime/3/10306.jpg
255,Jungle wa Itsumo Hare nochi Guu Final,https://cdn.myanimelist.net/images/anime/6/14520.jpg
256,Hoshi no Koe,https://cdn.myanimelist.net/images/anime/1980/112997.jpg
257,Ikkitousen,https://cdn.myanimelist.net/images/anime/5/23091.jpg
258,Hitsuji no Uta,https://cdn.myanimelist.net/images/anime/7/18066.jpg
259,Happy☆Lesson,https://cdn.myanimelist.net/images/anime/6/15349.jpg
260,Happy☆Lesson (TV),https://cdn.myanimelist.net/images/anime/3/75576.jpg
261,Happy☆Lesson: Advance,https://cdn.myanimelist.net/images/anime/7/75575.jpg
262,Happy☆Lesson: The Final,https://cdn.myanimelist.net/images/anime/11/75578.jpg
263,Hajime no Ippo,https://cdn.myanimelist.net/images/anime/4/86334.jpg
264,Hajime no Ippo: Champion Road,https://cdn.myanimelist.net/images/anime/9/2361.jpg
265,Hajime no Ippo: Mashiba vs. Kimura,https://cdn.myanimelist.net/images/anime/4/64737.jpg
266,Gunparade March: Arata Naru Kougunka,https://cdn.myanimelist.net/images/anime/13/75520.jpg
267,Gungrave,https://cdn.myanimelist.net/images/anime/11/75724.jpg
268,Golden Boy,https://cdn.myanimelist.net/images/anime/3/62867.jpg
269,Bleach,https://cdn.myanimelist.net/images/anime/3/40451.jpg
270,Hellsing,https://cdn.myanimelist.net/images/anime/10/19956.jpg
271,Gad Guard,https://cdn.myanimelist.net/images/anime/5/12863.jpg
272,Noir,https://cdn.myanimelist.net/images/anime/1054/96577.jpg
